ma_so_thue,ten_cong_ty,nam_thanh_lap,so_dien_thoai,email,dia_chi,nganh_nghe,tinh_thanh,crawled_at
0111464173,CÔNG TY TNHH ONEPOWER GROUP,,,,"D43-Lk3 Ô Số 28 Khu Đô Thị Mới Hai Bên Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội",,Ha Noi,2026-05-08 13:08:21
0111465699,CÔNG TY TNHH THƯƠNG MẠI VÀ VẬN TẢI PHÙNG GIA VIỆT NAM,,,,"Số 209 Trâu Quỳ, Xã Gia Lâm, Huyện Gia Lâm, Hà Nội",,Ha Noi,2026-05-08 13:08:21
0111463973,CÔNG TY TNHH MTV KIM VƯƠNG CÁT,,,,"Số 141T Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",,Ha Noi,2026-05-08 13:08:21
0111464293,CÔNG TY TNHH AN THÀNH CKXD,,,,"Số 12 Đường Tiến Thành, Phường Hà Đông, Quận Hà Đông, Hà Nội",,Ha Noi,2026-05-08 13:08:24
0111463941,CÔNG TY TNHH MỘT THÀNH VIÊN VIETCER,,,,"Tầng 5 Tòa Nhà King Building, Số 7 Chùa Bộc, Phường Kim Liên, Quận Đống Đa, Hà Nội",,Ha Noi,2026-05-08 13:08:24
0111463885,CÔNG TY TNHH MTV TRANG HÂN,,,,"Số Nhà B12, Ngõ 31/34 Đường Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",,Ha Noi,2026-05-08 13:08:24
0111463927,CÔNG TY TNHH FLYFORT TECHNOLOGIES,,,,"Số 7, Ngõ 86/20 Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",,Ha Noi,2026-05-08 13:08:24
0111463740,CÔNG TY TNHH THƯƠNG MẠI VẬN TẢI VÀ XÂY DỰNG MẠNH THÀNH,,,,"Số Nhà 150A, Đường Phú Mãn, Thôn Cổ Rùa, Xã Phú Cát, Huyện Quốc Oai, Hà Nội",,Ha Noi,2026-05-08 13:08:24
0111464529,CÔNG TY CỔ PHẦN ĐẦU TƯ DOANH THƯƠNG MINH PHÚ,,,,"Km 03 Phan Trọng Tuệ, Thôn Huỳnh Cung, Xã Đại Thanh, Huyện Thanh Trì, Hà Nội",,Ha Noi,2026-05-08 13:08:24
0111463758,CÔNG TY TNHH THƯƠNG MẠI CÔNG NGHỆ VÀ DỊCH VỤ AN PHÁT DIGITAL,,,,"Số Nhà 116, Thôn 4, Xã Phú Cát, Huyện Quốc Oai, Hà Nội",,Ha Noi,2026-05-08 13:08:24
0111465184,CÔNG TY TNHH THIẾT BỊ PCCC FIRETECH VIỆT NAM,,,,"Tầng 12, Tòa Nhà Diamond Flower, Số 48 Lê Văn Lương, Phường Thanh Xuân, Quận Thanh Xuân, Hà Nội",,Ha Noi,2026-05-08 13:08:24
0111463807,CÔNG TY TNHH THÉP HUY HIỀN,,,,"Lô B6, Cụm Công Nghiệp Phùng Xá, Xã Tây Phương, Huyện Thạch Thất, Hà Nội",,Ha Noi,2026-05-08 13:08:24
0111463839,CÔNG TY TNHH HAGA QUỐC TẾ,,,,"Số Nhà 21, Ngõ 73, Thôn Yên, Xã Tây Phương, Huyện Thạch Thất, Hà Nội",,Ha Noi,2026-05-08 13:08:24
0111465057,CÔNG TY TNHH KIAN FOO VIET NAM,,,,"Nhà Số 26N03 Khu Đô Thị Mới Dịch Vọng, Phường Cầu Giấy, Quận Cầu Giấy, Hà Nội",,Ha Noi,2026-05-08 13:08:24
